date,y_true,y_pred
2000-02-01,6.11545988258317,0.63996154
2000-03-01,0.0,0.63996154
2000-04-01,3.057729941291585,0.49255177
2000-05-01,3.057729941291585,0.63996154
2000-06-01,3.057729941291585,0.63996154
2000-07-01,6.11545988258317,0.63996154
2000-08-01,6.11545988258317,0.63996154
2000-09-01,3.057729941291585,0.63996154
2000-10-01,0.0,0.49255177
2000-11-01,0.0,0.49255177
2000-12-01,0.0,0.49098602
2001-01-01,0.0,0.49098602
2001-02-01,0.0,0.49098602
2001-03-01,0.0,0.49098602
2001-04-01,0.0,0.49098602
2001-05-01,0.0,0.49098602
2001-06-01,0.0,0.49098602
2001-07-01,0.0,0.49098602
2001-08-01,0.0,0.49098602
2001-09-01,0.0,0.49098602
2001-10-01,0.0,0.49098602
2001-11-01,0.0,0.49098602
2001-12-01,0.0,0.49098602
2002-01-01,0.0,0.49098602
2002-02-01,0.0,0.49098602
2002-03-01,0.0,0.49098602
2002-04-01,0.0,0.49098602
2002-05-01,0.0,0.49098602
2002-06-01,0.0,0.49098602
2002-07-01,0.0,0.49098602
2002-08-01,0.0,0.49098602
2002-09-01,0.0,0.49098602
2002-10-01,0.0,0.49098602
2002-11-01,0.0,0.5081589
2002-12-01,0.0,0.5081589
2003-01-01,0.0,0.49098602
2003-02-01,0.0,0.5081589
2003-03-01,0.0,0.5081589
2003-04-01,0.0,0.5081589
2003-05-01,0.0,0.49098602
2003-06-01,0.0,0.49098602
2003-07-01,3.002822653294096,0.49098602
2003-08-01,0.0,0.5002479
2003-09-01,0.0,0.49098602
2003-10-01,0.0,0.5081589
2003-11-01,0.0,0.49098602
2003-12-01,0.0,0.49098602
2004-01-01,0.0,0.5081589
2004-02-01,0.0,0.49098602
2004-03-01,0.0,0.49098602
2004-04-01,0.0,0.49098602
2004-05-01,0.0,0.49098602
2004-06-01,0.0,0.49098602
2004-07-01,0.0,0.49098602
2004-08-01,0.0,0.49098602
2004-09-01,0.0,0.49098602
2004-10-01,0.0,0.5081589
2004-11-01,0.0,0.49098602
2004-12-01,0.0,0.49098602
2005-01-01,0.0,0.49098602
2005-02-01,0.0,0.49098602
2005-03-01,0.0,0.49098602
2005-04-01,0.0,0.49098602
2005-05-01,0.0,0.49098602
2005-06-01,0.0,0.49098602
2005-07-01,0.0,0.49098602
2005-08-01,0.0,0.49098602
2005-09-01,0.0,0.49098602
2005-10-01,0.0,0.49098602
2005-11-01,0.0,0.5081589
2005-12-01,2.94811320754717,0.49098602
2006-01-01,2.929201206830897,0.5734779
2006-02-01,2.929201206830897,0.63996154
2006-03-01,2.929201206830897,0.63996154
2006-04-01,2.929201206830897,0.63996154
2006-05-01,2.929201206830897,0.63996154
2006-06-01,0.0,0.5002479
2006-07-01,0.0,0.49255177
2006-08-01,0.0,0.49098602
2006-09-01,0.0,0.49098602
2006-10-01,0.0,0.49098602
2006-11-01,0.0,0.49098602
2006-12-01,0.0,0.49098602
2007-01-01,0.0,0.49098602
2007-02-01,0.0,0.49098602
2007-03-01,0.0,0.49098602
2007-04-01,0.0,0.49098602
2007-05-01,0.0,0.49098602
2007-06-01,0.0,0.49098602
2007-07-01,0.0,0.49098602
2007-08-01,0.0,0.49098602
2007-09-01,0.0,0.49098602
2007-10-01,0.0,0.49098602
2007-11-01,0.0,0.5081589
2007-12-01,0.0,0.49098602
2008-01-01,5.828864537188156,0.5081589
2008-02-01,2.914432268594078,0.63996154
2008-03-01,8.743296805782235,0.49255177
2008-04-01,2.914432268594078,0.63996154
2008-05-01,0.0,0.49255177
2008-06-01,0.0,0.49255177
2008-07-01,0.0,0.49098602
2008-08-01,0.0,0.49098602
2008-09-01,0.0,0.49098602
2008-10-01,0.0,0.5081589
2008-11-01,0.0,0.5081589
2008-12-01,0.0,0.49098602
2009-01-01,0.0,0.49098602
2009-02-01,0.0,0.49098602
2009-03-01,0.0,0.49098602
2009-04-01,0.0,0.5081589
2009-05-01,0.0,0.49098602
2009-06-01,0.0,0.49098602
2009-07-01,0.0,0.49098602
2009-08-01,0.0,0.49098602
2009-09-01,0.0,0.49098602
2009-10-01,0.0,0.49098602
2009-11-01,0.0,0.49098602
2009-12-01,0.0,0.49098602
2010-01-01,0.0,0.49098602
2010-02-01,0.0,0.49098602
2010-03-01,0.0,0.49098602
2010-04-01,0.0,0.49098602
2010-05-01,0.0,0.49098602
2010-06-01,0.0,0.49098602
2010-07-01,0.0,0.49098602
2010-08-01,0.0,0.49098602
2010-09-01,0.0,0.49098602
2010-10-01,2.725835468571117,0.5081589
2010-11-01,0.0,0.5734779
2010-12-01,0.0,0.49098602
2011-01-01,0.0,0.49098602
2011-02-01,0.0,0.49098602
2011-03-01,0.0,0.49098602
2011-04-01,0.0,0.49098602
2011-05-01,0.0,0.49098602
2011-06-01,0.0,0.49098602
2011-07-01,0.0,0.49098602
2011-08-01,0.0,0.49098602
2011-09-01,0.0,0.49098602
2011-10-01,0.0,0.5081589
2011-11-01,0.0,0.5081589
2011-12-01,0.0,0.49098602
2012-01-01,0.0,0.49098602
2012-02-01,0.0,0.49098602
2012-03-01,0.0,0.5081589
2012-04-01,0.0,0.5081589
2012-05-01,0.0,0.49098602
2012-06-01,0.0,0.49098602
2012-07-01,2.681827933919759,0.49098602
2012-08-01,0.0,0.49098602
2012-09-01,0.0,0.49098602
2012-10-01,0.0,0.5081589
2012-11-01,0.0,0.5081589
2012-12-01,0.0,0.5081589
2013-01-01,0.0,0.5081589
2013-02-01,0.0,0.49098602
2013-03-01,0.0,0.49098602
2013-04-01,0.0,0.49098602
2013-05-01,2.572148773085035,0.49098602
2013-06-01,0.0,0.49098602
2013-07-01,0.0,0.49098602
2013-08-01,0.0,0.49098602
