date,y_true,y_pred
2000-02-01,0.0,0.08170428
2000-03-01,0.0,0.08170428
2000-04-01,0.0,0.08170428
2000-05-01,0.0,0.08170428
2000-06-01,0.0,0.08170428
2000-07-01,0.0,0.08170428
2000-08-01,0.0,0.08170428
2000-09-01,0.0,0.08170428
2000-10-01,0.0,0.08217296
2000-11-01,0.0,0.08170428
2000-12-01,0.0,0.08170428
2001-01-01,0.0,0.08170428
2001-02-01,0.0,0.08170428
2001-03-01,0.0,0.08170428
2001-04-01,0.0,0.08170428
2001-05-01,0.0,0.08170428
2001-06-01,0.0,0.08170428
2001-07-01,0.0,0.08170428
2001-08-01,0.0,0.08170428
2001-09-01,0.0,0.08170428
2001-10-01,0.0,0.08170428
2001-11-01,0.0,0.08170428
2001-12-01,0.0,0.08170428
2002-01-01,0.0,0.08170428
2002-02-01,0.0,0.08170428
2002-03-01,0.0,0.08170428
2002-04-01,0.0,0.08170428
2002-05-01,0.0,0.08170428
2002-06-01,0.0,0.08170428
2002-07-01,0.0,0.08170428
2002-08-01,0.0,0.08170428
2002-09-01,0.0,0.08170428
2002-10-01,0.0,0.08170428
2002-11-01,0.0,0.08217296
2002-12-01,0.0,0.08170428
2003-01-01,0.0,0.08170428
2003-02-01,0.0,0.08170428
2003-03-01,0.0,0.08170428
2003-04-01,0.0,0.08170428
2003-05-01,0.0,0.08170428
2003-06-01,0.0,0.08170428
2003-07-01,0.0,0.08170428
2003-08-01,0.0,0.08170428
2003-09-01,0.0,0.08170428
2003-10-01,0.0,0.08170428
2003-11-01,0.0,0.08170428
2003-12-01,0.0,0.08196143
2004-01-01,0.0,0.08170428
2004-02-01,0.0,0.08170428
2004-03-01,0.0,0.08170428
2004-04-01,0.0,0.08170428
2004-05-01,0.0,0.082135566
2004-06-01,0.0,0.08170428
2004-07-01,0.0,0.08170428
2004-08-01,0.0,0.08170428
2004-09-01,0.0,0.08170428
2004-10-01,0.0,0.08170428
2004-11-01,0.0,0.08170428
2004-12-01,0.0,0.08170428
2005-01-01,0.0,0.08170428
2005-02-01,0.0,0.08170428
2005-03-01,0.0,0.08170428
2005-04-01,0.0,0.08170428
2005-05-01,0.0,0.08170428
2005-06-01,0.0,0.08170428
2005-07-01,0.0,0.08170428
2005-08-01,0.0,0.08170428
2005-09-01,0.0,0.08170428
2005-10-01,0.0,0.08170428
2005-11-01,0.0,0.08170428
2005-12-01,0.0,0.08170428
2006-01-01,0.0,0.08170428
2006-02-01,0.0,0.08170428
2006-03-01,0.0,0.08170428
2006-04-01,0.0,0.08170428
2006-05-01,0.0,0.08170428
2006-06-01,0.0,0.08170428
2006-07-01,0.0,0.08170428
2006-08-01,0.0,0.08170428
2006-09-01,0.0,0.08170428
2006-10-01,0.0,0.08170428
2006-11-01,0.0,0.08170428
2006-12-01,0.0,0.08170428
2007-01-01,0.0,0.08170428
2007-02-01,0.0,0.08170428
2007-03-01,0.0,0.08217296
2007-04-01,0.0,0.08170428
2007-05-01,0.0,0.082135566
2007-06-01,0.0,0.08217296
2007-07-01,0.0,0.08170428
2007-08-01,0.0,0.08170428
2007-09-01,0.0,0.08170428
2007-10-01,0.0,0.08170428
2007-11-01,4.386734514827163,0.4091377
2007-12-01,0.0,0.08170428
2008-01-01,0.0,0.08641346
2008-02-01,0.0,0.08170428
2008-03-01,0.0,0.08170428
2008-04-01,0.0,0.08170428
2008-05-01,0.0,0.08170428
2008-06-01,0.0,0.08170428
2008-07-01,0.0,0.08170428
2008-08-01,0.0,0.08170428
2008-09-01,0.0,0.08170428
2008-10-01,0.0,0.08170428
2008-11-01,0.0,0.08170428
2008-12-01,0.0,0.08170428
2009-01-01,0.0,0.08170428
2009-02-01,0.0,0.08170428
2009-03-01,0.0,0.08170428
2009-04-01,0.0,0.08170428
2009-05-01,0.0,0.08170428
2009-06-01,0.0,0.08240472
2009-07-01,0.0,0.08197343
2009-08-01,0.0,0.08197343
2009-09-01,0.0,0.08197343
2009-10-01,0.0,0.08197343
2009-11-01,0.0,0.08197343
2009-12-01,0.0,0.08197343
2010-01-01,0.0,0.08197343
2010-02-01,0.0,0.08197343
2010-03-01,0.0,0.08197343
2010-04-01,0.0,0.08197343
2010-05-01,0.0,0.08197343
2010-06-01,0.0,0.08197343
2010-07-01,0.0,0.08197343
2010-08-01,0.0,0.08197343
2010-09-01,0.0,0.08197343
2010-10-01,4.856254856254856,0.20546354
2010-11-01,0.0,0.20546354
2010-12-01,0.0,0.08246956
2011-01-01,0.0,0.08246956
