date,y_true,y_pred
2000-02-01,0.0,0.0253794
2000-03-01,0.0,0.026882492
2000-04-01,0.0,0.026616398
2000-05-01,0.0,0.0253794
2000-06-01,0.0,0.0253794
2000-07-01,0.0,0.025424112
2000-08-01,0.0,0.025849443
2000-09-01,0.0,0.0253794
2000-10-01,0.0,0.0253794
2000-11-01,0.0,0.025643744
2000-12-01,0.0,0.025583114
2001-01-01,0.0,0.0253794
2001-02-01,0.0,0.025583114
2001-03-01,0.0,0.0253794
2001-04-01,0.0,0.0253794
2001-05-01,0.0,0.0253794
2001-06-01,0.0,0.02906415
2001-07-01,0.0,0.030227639
2001-08-01,0.0,0.025557708
2001-09-01,0.0,0.0253794
2001-10-01,0.0,0.025557708
2001-11-01,0.0,0.0253794
2001-12-01,0.0,0.0253794
2002-01-01,0.0,0.0253794
2002-02-01,0.0,0.0253794
2002-03-01,0.0,0.0253794
2002-04-01,0.0,0.0253794
2002-05-01,0.0,0.0253794
2002-06-01,0.0,0.0253794
2002-07-01,0.0,0.026402732
2002-08-01,0.0,0.031373095
2002-09-01,0.0,0.0253794
2002-10-01,0.0,0.025557708
2002-11-01,0.0,0.025643744
2002-12-01,0.0,0.0253794
2003-01-01,0.0,0.025583114
2003-02-01,0.0,0.0253794
2003-03-01,0.0,0.0253794
2003-04-01,0.0,0.0253794
2003-05-01,0.0,0.0253794
2003-06-01,0.0,0.0253794
2003-07-01,0.0,0.025715847
2003-08-01,0.0,0.0253794
2003-09-01,0.0,0.0253794
2003-10-01,0.0,0.02544003
2003-11-01,0.0,0.02544003
2003-12-01,0.0,0.02544003
2004-01-01,0.0,0.025583114
2004-02-01,0.0,0.0253794
2004-03-01,0.0,0.0253794
2004-04-01,0.0,0.0253794
2004-05-01,0.0,0.0253794
2004-06-01,0.0,0.029712886
2004-07-01,0.0,0.030227639
2004-08-01,0.0,0.010667038
2004-09-01,0.0,0.0253794
2004-10-01,0.0,0.02544003
2004-11-01,0.0,0.0253794
2004-12-01,0.0,0.0253794
2005-01-01,0.0,0.025583114
2005-02-01,0.0,0.0253794
2005-03-01,0.0,0.02544003
2005-04-01,0.0,0.02544003
2005-05-01,0.0,0.0253794
2005-06-01,0.0,0.0253794
2005-07-01,0.0,0.02272744
2005-08-01,0.0,0.0253794
2005-09-01,0.0,0.025557708
2005-10-01,0.0,0.0253794
2005-11-01,0.0,0.0253794
2005-12-01,0.0,0.0253794
2006-01-01,0.0,0.0253794
2006-02-01,0.0,0.0253794
2006-03-01,0.0,0.0253794
2006-04-01,0.0,0.0253794
2006-05-01,0.0,0.0253794
2006-06-01,0.0,0.027797263
2006-07-01,0.0,0.026694467
2006-08-01,0.0,0.0253794
2006-09-01,0.0,0.0253794
2006-10-01,0.0,0.025557708
2006-11-01,0.0,0.0253794
2006-12-01,0.0,0.4755259
2007-01-01,0.0,0.026244178
2007-02-01,0.0,0.026917689
2007-03-01,0.0,0.026244178
2007-04-01,0.0,0.026244178
2007-05-01,0.0,0.026244178
2007-06-01,0.0,0.4221801
2007-07-01,0.0,-0.020829748
2007-08-01,0.0,0.035485495
2007-09-01,0.0,0.0253794
2007-10-01,0.0,0.025643744
2007-11-01,0.0,0.025643744
2007-12-01,0.0,0.0253794
2008-01-01,0.0,0.025583114
2008-02-01,0.0,0.0253794
2008-03-01,0.0,0.026882492
2008-04-01,0.0,0.0253794
2008-05-01,0.0,0.0253794
2008-06-01,37.9794910748196,20.253712
2008-07-01,0.0,0.030392539
2008-08-01,0.0,0.026244178
2008-09-01,0.0,0.026244178
2008-10-01,0.0,0.026483115
2008-11-01,0.0,0.027107613
2008-12-01,0.0,0.014929736
2009-01-01,0.0,0.014990361
2009-02-01,0.0,0.026244178
2009-03-01,0.0,0.026244178
2009-04-01,0.0,0.026244178
2009-05-01,0.0,0.026244178
2009-06-01,0.0,0.026244178
2009-07-01,0.0,0.030392539
2009-08-01,0.0,0.030100804
2009-09-01,0.0,0.026244178
2009-10-01,0.0,0.026244178
2009-11-01,0.0,0.026244178
2009-12-01,0.0,0.026244178
2010-01-01,0.0,0.026244178
2010-02-01,0.0,0.026917689
2010-03-01,0.0,0.026244178
2010-04-01,0.0,0.026244178
2010-05-01,0.0,0.026244178
2010-06-01,0.0,0.38340184
2010-07-01,0.0,0.014379333
2010-08-01,0.0,0.0253794
2010-09-01,0.0,0.025557708
2010-10-01,0.0,0.0253794
2010-11-01,0.0,0.0253794
2010-12-01,0.0,0.025583114
2011-01-01,0.0,0.0253794
2011-02-01,0.0,0.0253794
2011-03-01,0.0,0.0253794
2011-04-01,0.0,0.026882492
2011-05-01,0.0,0.0253794
2011-06-01,0.0,0.025849443
2011-07-01,0.0,0.030227639
2011-08-01,0.0,0.025557708
2011-09-01,0.0,0.025618337
2011-10-01,0.0,0.02544003
2011-11-01,0.0,0.0253794
2011-12-01,0.0,0.025583114
2012-01-01,0.0,0.025583114
2012-02-01,0.0,0.0253794
2012-03-01,0.0,0.0253794
2012-04-01,0.0,0.0253794
2012-05-01,0.0,0.0253794
2012-06-01,0.0,-0.0036594742
2012-07-01,0.0,0.030049331
2012-08-01,0.0,0.03411863
2012-09-01,0.0,0.0253794
2012-10-01,0.0,0.02544003
2012-11-01,0.0,0.025643744
2012-12-01,0.0,0.0253794
2013-01-01,0.0,0.025643744
2013-02-01,0.0,0.0253794
2013-03-01,0.0,0.0253794
2013-04-01,0.0,0.0253794
2013-05-01,0.0,0.0253794
2013-06-01,0.0,-0.0129053
2013-07-01,0.0,0.030049331
2013-08-01,0.0,0.032235578
2013-09-01,0.0,0.025618337
2013-10-01,0.0,0.025557708
2013-11-01,0.0,0.025583114
2013-12-01,0.0,0.025583114
2014-01-01,0.0,0.025643744
2014-02-01,0.0,0.025583114
2014-03-01,0.0,0.02544003
2014-04-01,0.0,0.0253794
2014-05-01,0.0,0.0253794
2014-06-01,0.0,0.52357364
2014-07-01,0.0,-0.013453046
2014-08-01,0.0,0.034676604
2014-09-01,0.0,0.0253794
2014-10-01,0.0,0.0253794
2014-11-01,0.0,0.025643744
2014-12-01,0.0,0.0253794
2015-01-01,0.0,0.025583114
2015-02-01,0.0,0.025643744
2015-03-01,0.0,0.0253794
2015-04-01,0.0,0.0253794
2015-05-01,0.0,0.0253794
