date,y_true,y_pred
2000-02-01,0.0,0.18503018
2000-03-01,0.0,0.18503018
2000-04-01,0.0,0.18503018
2000-05-01,0.0,0.18503018
2000-06-01,0.0,0.18503018
2000-07-01,0.0,0.18503018
2000-08-01,0.0,0.18503018
2000-09-01,0.0,0.18503018
2000-10-01,0.0,0.18503018
2000-11-01,0.0,0.18503018
2000-12-01,0.0,0.18503018
2001-01-01,0.0,0.18503018
2001-02-01,0.0,0.18562086
2001-03-01,0.0,0.19006023
2001-04-01,0.0,0.18562086
2001-05-01,0.0,0.18503018
2001-06-01,0.0,0.18503018
2001-07-01,0.0,0.18503018
2001-08-01,0.0,0.18503018
2001-09-01,0.0,0.19364367
2001-10-01,0.0,0.18503018
2001-11-01,0.0,0.18503018
2001-12-01,0.0,0.18503018
2002-01-01,0.0,0.18503018
2002-02-01,0.0,0.18503018
2002-03-01,0.0,0.18503018
2002-04-01,0.0,0.18562086
2002-05-01,0.0,0.18562086
2002-06-01,0.0,0.18503018
2002-07-01,0.0,0.18503018
2002-08-01,0.0,0.18503018
2002-09-01,0.0,0.18503018
2002-10-01,0.0,0.18503018
2002-11-01,0.0,0.18503018
2002-12-01,0.0,0.18503018
2003-01-01,0.0,0.18503018
2003-02-01,3.231330985232818,0.38385594
2003-03-01,0.0,0.18562086
2003-04-01,0.0,0.18503018
2003-05-01,0.0,0.18503018
2003-06-01,0.0,0.18503018
2003-07-01,0.0,0.18503018
2003-08-01,0.0,0.18503018
2003-09-01,0.0,0.18662739
2003-10-01,0.0,0.18503018
2003-11-01,0.0,0.18503018
2003-12-01,0.0,0.18503018
2004-01-01,0.0,0.18503018
2004-02-01,0.0,0.18503018
2004-03-01,0.0,0.18503018
2004-04-01,0.0,0.18503018
2004-05-01,0.0,0.19364367
2004-06-01,0.0,0.18503018
2004-07-01,0.0,0.19364367
2004-08-01,0.0,0.18503018
2004-09-01,0.0,0.18503018
2004-10-01,0.0,0.18503018
2004-11-01,0.0,0.18503018
2004-12-01,0.0,0.18503018
2005-01-01,0.0,0.18503018
2005-02-01,0.0,0.18562086
2005-03-01,0.0,0.18503018
2005-04-01,0.0,0.18503018
2005-05-01,0.0,0.18503018
2005-06-01,0.0,0.26626962
2005-07-01,0.0,0.26626962
2005-08-01,0.0,0.26626962
2005-09-01,0.0,0.26626962
2005-10-01,3.055861141669723,0.26626962
2005-11-01,0.0,0.18743882
2005-12-01,0.0,0.18743882
2006-01-01,0.0,0.18743882
2006-02-01,0.0,0.1880295
2006-03-01,0.0,0.18562086
2006-04-01,0.0,0.18562086
2006-05-01,0.0,0.18503018
2006-06-01,0.0,0.18503018
2006-07-01,0.0,0.18503018
2006-08-01,0.0,0.18503018
2006-09-01,0.0,0.18503018
2006-10-01,0.0,0.18503018
2006-11-01,0.0,0.18503018
2006-12-01,0.0,0.18503018
2007-01-01,3.53544281421248,0.39145875
2007-02-01,0.0,0.18503018
2007-03-01,0.0,0.30113232
2007-04-01,0.0,0.18503018
2007-05-01,0.0,0.18503018
2007-06-01,0.0,0.18503018
2007-07-01,0.0,0.18503018
2007-08-01,0.0,0.18503018
2007-09-01,0.0,0.18503018
2007-10-01,0.0,0.18503018
2007-11-01,0.0,0.18662739
2007-12-01,0.0,0.18503018
2008-01-01,0.0,0.18662739
2008-02-01,0.0,0.18503018
2008-03-01,0.0,0.30974582
2008-04-01,0.0,0.18503018
2008-05-01,0.0,0.18503018
2008-06-01,0.0,0.18503018
2008-07-01,0.0,0.18503018
2008-08-01,0.0,0.18503018
2008-09-01,0.0,0.18503018
2008-10-01,0.0,0.18503018
2008-11-01,0.0,0.19364367
2008-12-01,0.0,0.18503018
2009-01-01,0.0,0.18662739
2009-02-01,0.0,0.18503018
2009-03-01,0.0,0.18562086
2009-04-01,0.0,0.18503018
2009-05-01,0.0,0.18503018
2009-06-01,0.0,0.18503018
2009-07-01,0.0,0.18503018
2009-08-01,0.0,0.19364367
2009-09-01,0.0,0.18503018
2009-10-01,0.0,0.19364367
2009-11-01,0.0,0.18503018
2009-12-01,0.0,0.18562086
2010-01-01,0.0,0.19364367
2010-02-01,0.0,0.190449
2010-03-01,0.0,0.18562086
2010-04-01,0.0,0.18503018
2010-05-01,0.0,0.19364367
2010-06-01,0.0,0.18662739
2010-07-01,0.0,0.18503018
2010-08-01,0.0,0.18503018
2010-09-01,0.0,0.18503018
2010-10-01,0.0,0.18503018
2010-11-01,0.0,0.18503018
2010-12-01,0.0,0.18503018
2011-01-01,0.0,0.19364367
2011-02-01,0.0,0.19423436
2011-03-01,0.0,0.19423436
2011-04-01,0.0,0.19364367
2011-05-01,0.0,0.19364367
2011-06-01,0.0,0.18503018
2011-07-01,0.0,0.18503018
2011-08-01,0.0,0.19364367
2011-09-01,0.0,0.18503018
2011-10-01,0.0,0.18503018
2011-11-01,0.0,0.18503018
2011-12-01,0.0,0.18503018
2012-01-01,0.0,0.18503018
2012-02-01,0.0,0.18503018
2012-03-01,0.0,0.18503018
2012-04-01,0.0,0.18503018
2012-05-01,0.0,0.19364367
2012-06-01,0.0,0.18503018
2012-07-01,0.0,0.19364367
2012-08-01,0.0,0.18503018
2012-09-01,0.0,0.19364367
2012-10-01,0.0,0.18503018
2012-11-01,0.0,0.18503018
2012-12-01,0.0,0.18503018
2013-01-01,0.0,0.18562086
2013-02-01,0.0,0.18503018
2013-03-01,0.0,0.19423436
2013-04-01,0.0,0.19384408
2013-05-01,3.441274648129667,0.36826313
2013-06-01,0.0,0.18523058
2013-07-01,0.0,0.19468968
2013-08-01,0.0,0.18607618
2013-09-01,0.0,0.18523058
2013-10-01,0.0,0.18523058
2013-11-01,0.0,0.18523058
2013-12-01,0.0,0.18562086
