date,y_true,y_pred
2000-02-01,0.0,0.0023844244
2000-03-01,0.0,0.0023832018
2000-04-01,0.0,0.0023832018
2000-05-01,0.0,0.0023844244
2000-06-01,0.0,-0.00094077457
2000-07-01,0.0,0.13308369
2000-08-01,0.0,0.0019176584
2000-09-01,0.0,0.0019685319
2000-10-01,0.0,0.0019685319
2000-11-01,0.0,0.0019685319
2000-12-01,0.0,0.0019685319
2001-01-01,0.0,0.0019685319
2001-02-01,0.0,0.0019685319
2001-03-01,0.0,0.0019673093
2001-04-01,0.0,0.0019673093
2001-05-01,0.0,0.0019685319
2001-06-01,0.0,0.0019685319
2001-07-01,0.0,0.0019777317
2001-08-01,0.0,0.0019685319
2001-09-01,0.0,0.0019685319
2001-10-01,0.0,0.0019685319
2001-11-01,0.0,0.0019685319
2001-12-01,0.0,0.0019685319
2002-01-01,0.0,0.0019685319
2002-02-01,0.0,0.0019673093
2002-03-01,0.0,0.0019673093
2002-04-01,0.0,0.0019685319
2002-05-01,0.0,0.0019685319
2002-06-01,0.0,0.0019685319
2002-07-01,0.0,0.0020245858
2002-08-01,0.0,0.0018530532
2002-09-01,0.0,0.0019685319
2002-10-01,0.0,0.0019685319
2002-11-01,0.0,0.0019801117
2002-12-01,0.0,0.0019685319
2003-01-01,0.0,0.0019685319
2003-02-01,0.0,0.0019685319
2003-03-01,0.0,0.0019685319
2003-04-01,0.0,0.0019685319
2003-05-01,0.0,0.0019685319
2003-06-01,0.0,0.0019685319
2003-07-01,0.0,0.0019131266
2003-08-01,0.0,0.0018530532
2003-09-01,0.0,0.0019685319
2003-10-01,0.0,0.0019685319
2003-11-01,0.0,0.0019685319
2003-12-01,0.0,0.0019685319
2004-01-01,0.0,0.0019673093
2004-02-01,0.0,0.0019685319
2004-03-01,0.0,0.0019673093
2004-04-01,0.0,0.0019673093
2004-05-01,0.0,0.0019673093
2004-06-01,0.0,0.0018570726
2004-07-01,0.0,0.0019131266
2004-08-01,0.0,0.0019131266
2004-09-01,0.0,0.0022075674
2004-10-01,0.0,0.0019685319
2004-11-01,0.0,0.0019685319
2004-12-01,0.0,0.0019685319
2005-01-01,0.0,0.0019685319
2005-02-01,0.0,0.0019673093
2005-03-01,0.0,0.0019685319
2005-04-01,0.0,0.0019685319
2005-05-01,0.0,0.0019685319
2005-06-01,0.0,0.0019685319
2005-07-01,0.0,0.0019131266
2005-08-01,0.0,0.0018530532
2005-09-01,0.0,0.0019685319
2005-10-01,0.0,0.0019685319
2005-11-01,0.0,0.0019685319
2005-12-01,0.0,0.0019685319
2006-01-01,0.0,0.0019685319
2006-02-01,0.0,0.0019685319
2006-03-01,0.0,0.0019673093
2006-04-01,0.0,0.0019673093
2006-05-01,0.0,0.00027641372
2006-06-01,0.0,0.0020245858
2006-07-01,0.0,0.0019131266
2006-08-01,0.0,0.0019685319
2006-09-01,0.0,0.0019685319
2006-10-01,0.0,0.002033137
2006-11-01,0.0,0.0019685319
2006-12-01,0.0,0.0019685319
2007-01-01,0.0,0.0019673093
2007-02-01,0.0,0.0019673093
2007-03-01,0.0,0.0019685319
2007-04-01,0.0,0.0019798665
2007-05-01,0.0,0.0019673093
2007-06-01,0.0,0.0019685319
2007-07-01,0.0,0.002089191
2007-08-01,0.0,0.0018530532
2007-09-01,0.0,0.0019685319
2007-10-01,0.0,0.0019685319
2007-11-01,0.0,0.0019685319
2007-12-01,0.0,0.0019685319
2008-01-01,0.0,0.0019801117
2008-02-01,0.0,0.001978644
2008-03-01,0.0,0.0019673093
2008-04-01,0.0,0.0019685319
2008-05-01,0.0,0.001999079
2008-06-01,0.0,0.0019091072
2008-07-01,0.0,0.0019777317
2008-08-01,0.0,0.0022075674
2008-09-01,0.0,0.0020003016
2008-10-01,0.0,0.0019685319
2008-11-01,0.0,0.0019685319
2008-12-01,0.0,0.0019798665
2009-01-01,0.0,0.0019801117
2009-02-01,0.0,0.0019685319
2009-03-01,0.0,0.0019673093
2009-04-01,0.0,0.001978644
2009-05-01,0.0,0.0019673093
2009-06-01,0.0,0.0020233633
2009-07-01,0.0,0.0020535153
2009-08-01,0.0,0.0018570726
2009-09-01,0.0,0.0020003016
2009-10-01,0.0,0.0019685319
2009-11-01,0.0,0.0019673093
2009-12-01,0.0,0.0019685319
2010-01-01,0.0,0.0019685319
2010-02-01,0.0,0.001978644
2010-03-01,0.0,0.0019685319
2010-04-01,0.0,0.0019685319
2010-05-01,0.0,0.0019685319
2010-06-01,0.0,0.001999079
2010-07-01,0.0,0.0019131266
2010-08-01,0.0,0.0020003016
2010-09-01,0.0,0.0019685319
2010-10-01,0.0,0.0019685319
2010-11-01,0.0,0.0019685319
2010-12-01,0.0,0.0019685319
2011-01-01,0.0,0.0019673093
2011-02-01,0.0,0.0019673093
2011-03-01,0.0,0.0025919676
2011-04-01,0.0,0.0025919676
2011-05-01,0.0,0.0019673093
2011-06-01,0.0,0.0020233633
2011-07-01,0.0,0.0019777317
2011-08-01,0.0,0.0022291767
2011-09-01,0.0,0.002033137
2011-10-01,0.0,0.0019685319
2011-11-01,0.0,0.0019685319
2011-12-01,0.0,0.0019685319
2012-01-01,0.0,0.0019801117
2012-02-01,0.0,-0.00020147249
2012-03-01,0.0,0.0009603081
2012-04-01,0.0,0.0026045248
2012-05-01,0.0,0.0019673093
2012-06-01,0.0,0.0020233633
2012-07-01,0.0,0.11528989
2012-08-01,0.0,0.0648219
2012-09-01,0.0,0.051678237
2012-10-01,0.0,0.0019798665
2012-11-01,0.0,0.0019798665
2012-12-01,0.0,0.0019685319
2013-01-01,0.0,0.0019914464
2013-02-01,0.0,0.0019673093
2013-03-01,0.0,0.001978644
2013-04-01,0.0,0.0019673093
2013-05-01,0.0,0.001999079
2013-06-01,0.0,0.0018990666
2013-07-01,0.0,0.0019889101
2013-08-01,0.0,0.0019889101
2013-09-01,0.0,0.0020003016
