date,y_true,y_pred
2000-02-01,0.0,0.0020238864
2000-03-01,0.0,0.0027010683
2000-04-01,0.0,0.0020773807
2000-05-01,0.0,0.0020238864
2000-06-01,0.0,0.0020238864
2000-07-01,0.0,0.0020238864
2000-08-01,0.0,0.0020238864
2000-09-01,0.0,0.0020238864
2000-10-01,0.0,0.0020238864
2000-11-01,0.0,0.0020238864
2000-12-01,0.0,0.0020238864
2001-01-01,0.0,0.0020238864
2001-02-01,0.0,0.0024432722
2001-03-01,0.0,0.0023410749
2001-04-01,0.0,0.0023468155
2001-05-01,0.0,0.0020238864
2001-06-01,0.0,0.0020238864
2001-07-01,0.0,0.0020238864
2001-08-01,0.0,0.0020238864
2001-09-01,0.0,0.0020238864
2001-10-01,0.0,0.0020238864
2001-11-01,0.0,0.0020238864
2001-12-01,0.0,0.0020238864
2002-01-01,0.0,0.0020706765
2002-02-01,0.0,0.0020238864
2002-03-01,0.0,0.0020238864
2002-04-01,0.0,0.0024127038
2002-05-01,0.0,-0.036404423
2002-06-01,0.0,0.0019263434
2002-07-01,0.0,0.0019263434
2002-08-01,0.0,0.0019263434
2002-09-01,0.0,0.0019263434
2002-10-01,0.0,0.0019263434
2002-11-01,0.0,0.0019263434
2002-12-01,0.0,0.0019263434
2003-01-01,0.0,0.0019263434
2003-02-01,0.0,0.0022543692
2003-03-01,0.0,0.0022435319
2003-04-01,0.0,0.0019798377
2003-05-01,0.0,0.0019263434
2003-06-01,0.0,0.0019263434
2003-07-01,0.0,0.0019263434
2003-08-01,0.0,0.0019263434
2003-09-01,0.0,0.0019263434
2003-10-01,0.0,0.0019263434
2003-11-01,0.0,0.0019263434
2003-12-01,0.0,0.0019429638
2004-01-01,0.0,0.0019263434
2004-02-01,0.0,0.0020706765
2004-03-01,0.0,0.0019263434
2004-04-01,0.0,0.0019798377
2004-05-01,0.0,0.0020056416
2004-06-01,0.0,0.0019263434
2004-07-01,0.0,0.0019263434
2004-08-01,0.0,0.0019263434
2004-09-01,0.0,0.0019263434
2004-10-01,0.0,0.0019263434
2004-11-01,0.0,0.0019263434
2004-12-01,0.0,0.0019263434
2005-01-01,0.0,0.0020706765
2005-02-01,0.0,0.0022543692
2005-03-01,0.0,0.0019263434
2005-04-01,0.0,0.0019798377
2005-05-01,0.0,0.0019263434
2005-06-01,0.0,0.0019263434
2005-07-01,0.0,0.0019263434
2005-08-01,0.0,0.0019263434
2005-09-01,0.0,0.0019263434
2005-10-01,0.0,0.0019263434
2005-11-01,0.0,0.0019263434
2005-12-01,0.0,0.0019263434
2006-01-01,0.0,0.0019263434
2006-02-01,0.0,0.0022435319
2006-03-01,0.0,0.0022435319
2006-04-01,0.0,0.0022492725
2006-05-01,0.0,0.0019263434
2006-06-01,0.0,0.0019263434
2006-07-01,0.0,0.0019263434
2006-08-01,0.0,0.0019263434
2006-09-01,0.0,0.0019263434
2006-10-01,0.0,0.0019429638
2006-11-01,0.0,0.0019263434
2006-12-01,0.0,0.0019429638
2007-01-01,0.0,0.38153115
2007-02-01,0.0,0.0009781646
2007-03-01,0.0,-0.008755504
2007-04-01,0.0,0.0019798377
2007-05-01,0.0,0.0020056416
2007-06-01,0.0,0.0019263434
2007-07-01,0.0,0.0019263434
2007-08-01,0.0,0.0019263434
2007-09-01,0.0,0.0019263434
2007-10-01,0.0,0.0019263434
2007-11-01,0.0,0.0019263434
2007-12-01,0.0,0.0019263434
2008-01-01,0.0,0.0007974264
2008-02-01,0.0,0.0020706765
2008-03-01,6.901311249137336,4.4012637
2008-04-01,0.0,0.0019798377
2008-05-01,0.0,0.0019263434
2008-06-01,0.0,0.0019263434
2008-07-01,0.0,0.0019263434
2008-08-01,0.0,0.0019263434
2008-09-01,0.0,0.0019263434
2008-10-01,0.0,0.0019263434
2008-11-01,0.0,0.0019263434
2008-12-01,0.0,0.0019263434
2009-01-01,0.0,0.0019263434
2009-02-01,0.0,0.0020706765
2009-03-01,0.0,0.0022543692
2009-04-01,0.0,0.00073965156
2009-05-01,0.0,0.0019263434
2009-06-01,0.0,0.0020056416
2009-07-01,0.0,0.0019263434
2009-08-01,0.0,0.00023750195
2009-09-01,0.0,0.0019263434
2009-10-01,0.0,0.0019263434
2009-11-01,0.0,0.0019263434
2009-12-01,0.0,0.0022601523
2010-01-01,0.0,0.0020056416
2010-02-01,0.0,0.0023336678
2010-03-01,0.0,0.0022601523
2010-04-01,0.0,0.0026908661
2010-05-01,0.0,0.0019263434
2010-06-01,0.0,0.0020056416
2010-07-01,0.0,0.0019263434
2010-08-01,0.0,0.0019263434
2010-09-01,0.0,0.0019263434
2010-10-01,0.0,0.0019263434
2010-11-01,0.0,0.0019263434
2010-12-01,0.0,0.0019263434
2011-01-01,0.0,0.0020706765
2011-02-01,0.0,0.0023336678
2011-03-01,0.0,0.00232283
2011-04-01,0.0,0.0020591358
2011-05-01,0.0,0.0020056416
2011-06-01,0.0,0.0020056416
2011-07-01,0.0,0.0019263434
2011-08-01,0.0,0.0019263434
2011-09-01,0.0,0.0019263434
2011-10-01,0.0,0.0019263434
2011-11-01,0.0,0.0019263434
2011-12-01,0.0,0.0019263434
2012-01-01,0.0,0.0019429638
2012-02-01,0.0,0.0019263434
2012-03-01,0.0,0.0019263434
2012-04-01,0.0,0.0019798377
2012-05-01,0.0,0.0019263434
2012-06-01,0.0,0.0020056416
2012-07-01,0.0,0.0020056416
2012-08-01,0.0,0.0023920015
2012-09-01,0.0,0.0019263434
2012-10-01,0.0,0.0019429638
2012-11-01,0.0,0.0019429638
2012-12-01,0.0,0.0019263434
2013-01-01,0.0,0.0022601523
2013-02-01,0.0,0.0019263434
2013-03-01,0.0,0.00232283
2013-04-01,0.0,0.0020591358
2013-05-01,0.0,0.0020056416
2013-06-01,0.0,0.0019263434
2013-07-01,0.0,0.0020056416
2013-08-01,0.0,0.0019263434
2013-09-01,0.0,0.0019263434
2013-10-01,0.0,0.0019263434
2013-11-01,0.0,0.0019263434
2013-12-01,0.0,0.0019263434
2014-01-01,0.0,0.002489723
2014-02-01,0.0,0.12280361
2014-03-01,0.0,0.0025733556
2014-04-01,0.0,0.0020793069
2014-05-01,0.0,0.0020056416
2014-06-01,0.0,0.0019263434
2014-07-01,0.0,0.0019263434
2014-08-01,0.0,0.0019263434
2014-09-01,0.0,0.0019263434
2014-10-01,0.0,0.0019263434
2014-11-01,0.0,0.0019263434
2014-12-01,0.0,0.0019263434
2015-01-01,0.0,0.0019429638
2015-02-01,0.0,0.0010065713
2015-03-01,0.0,0.002738462
2015-04-01,0.0,0.06680316
2015-05-01,0.0,0.0020056416
2015-06-01,0.0,0.0020056416
2015-07-01,0.0,0.0019263434
2015-08-01,0.0,0.0019263434
2015-09-01,0.0,0.0023920015
2015-10-01,0.0,0.0019429638
2015-11-01,0.0,0.0019263434
2015-12-01,0.0,0.002014397
2016-01-01,0.0,0.081775874
2016-02-01,0.0,0.0020852159
2016-03-01,0.0,0.0027157008
2016-04-01,0.0,0.0023285707
2016-05-01,0.0,0.0019263434
2016-06-01,0.0,0.0019263434
2016-07-01,0.0,0.0019263434
2016-08-01,0.0,0.0019263434
2016-09-01,0.0,0.0019263434
2016-10-01,0.0,0.0019263434
2016-11-01,0.0,0.0019263434
2016-12-01,0.0,0.0019263434
2017-01-01,0.0,0.0019429638
2017-02-01,0.0,0.0023336678
2017-03-01,0.0,0.0022435319
2017-04-01,0.0,0.0020591358
2017-05-01,0.0,0.0020056416
2017-06-01,0.0,0.0019263434
2017-07-01,0.0,0.0019263434
2017-08-01,0.0,0.0019263434
2017-09-01,0.0,0.0019263434
2017-10-01,0.0,0.0019263434
2017-11-01,0.0,0.0019429638
2017-12-01,0.0,0.0019429638
2018-01-01,0.0,0.0019429638
2018-02-01,0.0,0.0019263434
2018-03-01,0.0,0.0019263434
2018-04-01,0.0,0.0023285707
2018-05-01,0.0,0.0020056416
2018-06-01,0.0,0.0019263434
2018-07-01,0.0,0.0020056416
2018-08-01,0.0,0.0019263434
2018-09-01,0.0,0.0019263434
2018-10-01,0.0,0.0019263434
2018-11-01,0.0,0.0019263434
2018-12-01,0.0,0.0019429638
2019-01-01,0.0,0.0008014139
2019-02-01,0.0,0.0010065713
2019-03-01,0.0,0.002587988
2019-04-01,0.0,0.0020591358
