date,y_true,y_pred
2000-02-01,0.0,0.071093835
2000-03-01,0.0,0.07384432
2000-04-01,0.9623434988884932,0.07384432
2000-05-01,0.0,0.071667835
2000-06-01,0.0,0.07384432
2000-07-01,0.0,0.07384432
2000-08-01,0.0,0.07384432
2000-09-01,0.0,0.071093835
2000-10-01,0.0,0.071093835
2000-11-01,0.0,0.071093835
2000-12-01,0.0,0.07384432
2001-01-01,0.0,0.08916952
2001-02-01,0.0,0.07384432
2001-03-01,0.0,0.071093835
2001-04-01,0.0,0.07384432
2001-05-01,0.0,0.07384432
2001-06-01,0.0,0.07384432
2001-07-01,0.0,0.07384432
2001-08-01,0.0,0.07384432
2001-09-01,0.0,0.07384432
2001-10-01,0.0,0.071093835
2001-11-01,0.0,0.071093835
2001-12-01,0.0,0.071093835
2002-01-01,0.0,0.08916952
2002-02-01,0.0,0.071093835
2002-03-01,0.0,0.07384432
2002-04-01,0.0,0.071667835
2002-05-01,0.0,0.07384432
2002-06-01,0.0,0.07384432
2002-07-01,0.0,0.07384432
2002-08-01,0.0,0.07384432
2002-09-01,0.0,0.07384432
2002-10-01,0.0,0.071093835
2002-11-01,0.0,0.071093835
2002-12-01,0.0,0.071093835
2003-01-01,0.0,0.071667835
2003-02-01,0.0,0.071667835
2003-03-01,0.0,0.071667835
2003-04-01,0.0,0.07384432
2003-05-01,0.9386939013057232,0.07384432
2003-06-01,0.0,0.071667835
2003-07-01,0.0,0.07384432
2003-08-01,0.0,0.07384432
2003-09-01,0.0,0.07384432
2003-10-01,0.0,0.071093835
2003-11-01,0.0,0.071093835
2003-12-01,0.0,0.071093835
2004-01-01,0.9235912923812952,0.08916952
2004-02-01,0.0,0.071667835
2004-03-01,0.9235912923812952,0.07384432
2004-04-01,0.9235912923812952,0.10246894
2004-05-01,0.0,0.07384432
2004-06-01,0.0,0.07384432
2004-07-01,0.0,0.07384432
2004-08-01,0.0,0.07384432
2004-09-01,0.9235912923812952,0.07384432
2004-10-01,0.0,0.07291423
2004-11-01,0.0,0.071093835
2004-12-01,0.0,0.071093835
2005-01-01,0.0,0.07472579
2005-02-01,0.9154323587030154,0.117661595
2005-03-01,0.0,0.071667835
2005-04-01,0.0,0.071093835
2005-05-01,0.0,0.07384432
2005-06-01,0.0,0.07384432
2005-07-01,0.0,0.07384432
2005-08-01,0.0,0.071093835
2005-09-01,0.0,0.071093835
2005-10-01,0.0,0.07384432
2005-11-01,0.0,0.071093835
2005-12-01,0.0,0.07384432
2006-01-01,0.0,0.07472579
2006-02-01,0.0,0.071093835
2006-03-01,0.9074821906620084,0.07384432
2006-04-01,0.0,0.071667835
2006-05-01,0.0,0.07384432
2006-06-01,0.0,0.07384432
2006-07-01,0.0,0.07384432
2006-08-01,0.0,0.07384432
2006-09-01,0.0,0.071093835
2006-10-01,0.0,0.071093835
2006-11-01,0.0,0.071093835
2006-12-01,0.0,0.071093835
2007-01-01,1.852057636033633,0.117661595
2007-02-01,0.0,0.071667835
2007-03-01,0.0,0.07384432
2007-04-01,0.0,0.071093835
2007-05-01,0.0,0.071093835
2007-06-01,0.0,0.07384432
2007-07-01,0.0,0.07384432
2007-08-01,0.9260288180168168,0.07384432
2007-09-01,0.0,0.071667835
2007-10-01,0.0,0.071093835
2007-11-01,0.0,0.071093835
2007-12-01,0.0,0.071093835
2008-01-01,0.0,0.07472579
2008-02-01,0.0,0.07384432
2008-03-01,0.0,0.07384432
2008-04-01,0.0,0.07384432
2008-05-01,0.8864933867593348,0.07384432
2008-06-01,0.0,0.07384432
2008-07-01,0.0,0.07384432
2008-08-01,0.0,0.07384432
2008-09-01,0.0,0.07384432
2008-10-01,0.0,0.071093835
2008-11-01,0.0,0.071093835
2008-12-01,0.0,0.071093835
2009-01-01,0.0,0.07472579
2009-02-01,0.0,0.07384432
2009-03-01,0.0,0.07384432
2009-04-01,0.0,0.071093835
2009-05-01,0.0,0.07384432
2009-06-01,0.0,0.07384432
2009-07-01,0.0,0.07384432
2009-08-01,0.0,0.07384432
2009-09-01,0.0,0.07384432
2009-10-01,0.0,0.071093835
2009-11-01,0.0,0.07384432
2009-12-01,0.0,0.071093835
2010-01-01,0.0,0.07472579
2010-02-01,0.0,0.117661595
2010-03-01,0.0,0.071093835
2010-04-01,0.0,0.07384432
2010-05-01,0.0,0.07384432
2010-06-01,0.0,0.07384432
2010-07-01,0.0,0.07384432
2010-08-01,0.0,0.07384432
2010-09-01,0.0,0.071093835
2010-10-01,0.0,0.071093835
2010-11-01,0.0,0.071093835
2010-12-01,0.0,0.071093835
2011-01-01,0.0,0.07472579
2011-02-01,0.8870831817899564,0.117661595
2011-03-01,0.8870831817899564,0.10246894
2011-04-01,0.8870831817899564,0.07384432
2011-05-01,0.0,0.07384432
2011-06-01,0.0,0.07384432
2011-07-01,0.0,0.07384432
2011-08-01,0.0,0.07384432
2011-09-01,0.0,0.071093835
2011-10-01,0.0,0.071093835
2011-11-01,0.0,0.071093835
2011-12-01,0.0,0.071093835
2012-01-01,0.8823166104925091,0.07472579
2012-02-01,0.0,0.07384432
2012-03-01,0.0,0.071093835
2012-04-01,0.0,0.07384432
2012-05-01,0.0,0.07384432
2012-06-01,0.0,0.07384432
2012-07-01,0.0,0.07384432
2012-08-01,0.0,0.07384432
2012-09-01,0.0,0.07384432
2012-10-01,0.0,0.071093835
2012-11-01,0.0,0.071093835
2012-12-01,0.0,0.071093835
2013-01-01,0.0,0.07472579
2013-02-01,0.0,0.07384432
2013-03-01,0.0,0.071093835
2013-04-01,0.0,0.071093835
2013-05-01,0.0,0.07384432
2013-06-01,0.0,0.07384432
2013-07-01,0.0,0.07384432
2013-08-01,0.0,0.07384432
2013-09-01,0.0,0.07384432
2013-10-01,0.0,0.071093835
2013-11-01,0.0,0.071093835
2013-12-01,0.0,0.071093835
2014-01-01,0.0,0.07472579
2014-02-01,0.0,0.071093835
2014-03-01,0.0,0.071093835
2014-04-01,0.0,0.071093835
2014-05-01,0.0,0.07384432
2014-06-01,0.0,0.07384432
2014-07-01,0.8437323343542495,0.07384432
2014-08-01,0.0,0.07384432
2014-09-01,0.0,0.071093835
2014-10-01,0.0,0.071093835
2014-11-01,0.0,0.071093835
2014-12-01,0.0,0.071093835
2015-01-01,0.0,0.07472579
2015-02-01,0.0,0.071093835
2015-03-01,0.0,0.07384432
2015-04-01,0.0,0.07384432
2015-05-01,0.0,0.07384432
2015-06-01,0.0,0.07384432
2015-07-01,0.8386236508642018,0.07384432
2015-08-01,0.0,0.07384432
2015-09-01,0.0,0.071093835
2015-10-01,0.0,0.071093835
2015-11-01,0.0,0.071093835
2015-12-01,0.0,0.071093835
2016-01-01,0.0,0.07472579
2016-02-01,0.0,0.07384432
2016-03-01,0.0,0.071093835
2016-04-01,0.0,0.07384432
2016-05-01,0.0,0.07384432
2016-06-01,0.0,0.07384432
2016-07-01,0.0,0.07384432
2016-08-01,0.0,0.07384432
2016-09-01,0.0,0.071093835
2016-10-01,0.0,0.071093835
2016-11-01,0.0,0.071093835
2016-12-01,0.833694600993764,0.07384432
2017-01-01,0.0,0.07472579
2017-02-01,0.0,0.071093835
2017-03-01,0.0,0.071093835
2017-04-01,0.0,0.071093835
2017-05-01,0.0,0.07384432
2017-06-01,0.0,0.07384432
2017-07-01,0.0,0.07384432
2017-08-01,0.0,0.07384432
2017-09-01,0.0,0.071093835
2017-10-01,0.0,0.071093835
