date,y_true,y_pred
2000-02-01,0.0,0.15863217
2000-03-01,0.0,0.15446028
2000-04-01,0.0,0.15446028
2000-05-01,0.0,0.15446028
2000-06-01,6.447453255963895,0.6328357
2000-07-01,0.0,0.15153547
2000-08-01,0.0,0.15153547
2000-09-01,0.0,0.15280274
2000-10-01,0.0,0.15570736
2000-11-01,0.0,0.325867
2000-12-01,0.0,0.16441521
2001-01-01,0.0,0.16441521
2001-02-01,0.0,0.16441521
2001-03-01,6.321112515802781,0.77400994
2001-04-01,0.0,0.16441521
2001-05-01,0.0,0.15153547
2001-06-01,0.0,0.3011751
2001-07-01,0.0,0.15570736
2001-08-01,0.0,0.1524979
2001-09-01,0.0,0.16024332
2001-10-01,0.0,0.15153547
2001-11-01,0.0,0.15570736
2001-12-01,0.0,0.15153547
2002-01-01,0.0,0.15570736
2002-02-01,0.0,0.16441521
2002-03-01,0.0,0.16441521
2002-04-01,0.0,0.16441521
2002-05-01,0.0,0.15153547
2002-06-01,0.0,0.16441521
2002-07-01,0.0,0.15153547
2002-08-01,0.0,0.15153547
2002-09-01,0.0,0.15570736
2002-10-01,0.0,0.15570736
2002-11-01,0.0,0.15570736
2002-12-01,0.0,0.15570736
2003-01-01,0.0,0.15570736
2003-02-01,0.0,0.15570736
2003-03-01,0.0,0.16441521
2003-04-01,0.0,0.15570736
2003-05-01,0.0,0.15153547
2003-06-01,0.0,0.16024332
2003-07-01,0.0,0.16024332
2003-08-01,0.0,0.15153547
2003-09-01,0.0,0.15153547
2003-10-01,0.0,0.15153547
2003-11-01,0.0,0.15153547
2003-12-01,0.0,0.15570736
2004-01-01,0.0,0.16441521
2004-02-01,0.0,0.16441521
2004-03-01,0.0,0.16024332
2004-04-01,0.0,0.16024332
2004-05-01,0.0,0.16024332
2004-06-01,0.0,0.19028684
2004-07-01,0.0,0.16024332
2004-08-01,0.0,0.16024332
2004-09-01,0.0,0.15153547
2004-10-01,0.0,0.15153547
2004-11-01,0.0,0.15570736
2004-12-01,0.0,0.15570736
2005-01-01,0.0,0.15570736
2005-02-01,0.0,0.16441521
2005-03-01,0.0,0.15153547
2005-04-01,0.0,0.15153547
2005-05-01,0.0,0.15153547
2005-06-01,0.0,0.15153547
2005-07-01,0.0,0.16024332
2005-08-01,0.0,0.15153547
2005-09-01,0.0,0.15153547
2005-10-01,0.0,0.15153547
2005-11-01,0.0,0.15570736
2005-12-01,0.0,0.15153547
2006-01-01,0.0,0.15570736
2006-02-01,0.0,0.15570736
2006-03-01,0.0,0.16441521
2006-04-01,0.0,0.16441521
2006-05-01,0.0,0.16024332
2006-06-01,0.0,0.15153547
2006-07-01,0.0,0.15153547
2006-08-01,0.0,0.15153547
2006-09-01,0.0,0.15153547
2006-10-01,0.0,0.15570736
2006-11-01,0.0,0.15153547
2006-12-01,0.0,0.15153547
2007-01-01,0.0,0.16441521
2007-02-01,0.0,0.16441521
2007-03-01,5.999880002399951,0.16441521
2007-04-01,0.0,0.15153547
2007-05-01,0.0,0.16024332
2007-06-01,5.999880002399951,0.7430713
2007-07-01,0.0,0.15153547
2007-08-01,0.0,0.1524979
2007-09-01,0.0,0.29547298
2007-10-01,0.0,0.15153547
2007-11-01,5.999880002399951,0.85400885
2007-12-01,0.0,0.15153547
2008-01-01,0.0,0.15570736
2008-02-01,0.0,0.15280274
2008-03-01,0.0,0.16024332
2008-04-01,0.0,0.33156958
2008-05-01,0.0,0.16441521
2008-06-01,0.0,0.15153547
2008-07-01,0.0,0.16024332
2008-08-01,0.0,0.15153547
2008-09-01,0.0,0.15153547
2008-10-01,0.0,0.15153547
2008-11-01,0.0,0.15153547
2008-12-01,0.0,0.15153547
2009-01-01,0.0,0.15153547
2009-02-01,0.0,0.15570736
2009-03-01,0.0,0.16441521
2009-04-01,0.0,0.16024332
2009-05-01,0.0,0.16024332
2009-06-01,0.0,0.16024332
2009-07-01,0.0,0.15153547
2009-08-01,0.0,0.15570736
2009-09-01,0.0,0.15153547
2009-10-01,0.0,0.15570736
2009-11-01,0.0,0.16441521
2009-12-01,0.0,0.15570736
2010-01-01,0.0,0.15570736
2010-02-01,0.0,0.19445874
2010-03-01,0.0,0.15570736
2010-04-01,0.0,0.15570736
2010-05-01,0.0,0.15153547
2010-06-01,0.0,0.16024332
2010-07-01,0.0,0.15153547
2010-08-01,0.0,0.15153547
2010-09-01,0.0,0.15153547
2010-10-01,0.0,0.15153547
2010-11-01,0.0,0.15153547
2010-12-01,0.0,0.15153547
2011-01-01,0.0,0.16441521
2011-02-01,0.0,0.16441521
2011-03-01,0.0,0.16441521
2011-04-01,0.0,0.19028684
2011-05-01,0.0,0.16024332
2011-06-01,0.0,0.16024332
2011-07-01,0.0,0.15153547
2011-08-01,0.0,0.15153547
2011-09-01,0.0,0.15153547
2011-10-01,0.0,0.15153547
2011-11-01,0.0,0.15570736
2011-12-01,0.0,0.15153547
2012-01-01,0.0,0.15153547
2012-02-01,0.0,0.15570736
2012-03-01,0.0,0.15570736
2012-04-01,0.0,0.16024332
2012-05-01,0.0,0.16024332
2012-06-01,0.0,0.16024332
2012-07-01,0.0,0.16441521
2012-08-01,0.0,0.15153547
2012-09-01,0.0,0.15153547
2012-10-01,0.0,0.15153547
2012-11-01,0.0,0.15570736
2012-12-01,0.0,0.15153547
2013-01-01,0.0,0.16441521
2013-02-01,0.0,0.16441521
2013-03-01,0.0,0.16441521
2013-04-01,0.0,0.16441521
2013-05-01,0.0,0.16024332
2013-06-01,0.0,0.15153547
2013-07-01,0.0,0.19445874
2013-08-01,0.0,0.15153547
2013-09-01,0.0,0.15153547
2013-10-01,0.0,0.15570736
2013-11-01,0.0,0.15153547
2013-12-01,0.0,0.15153547
2014-01-01,0.0,0.15153547
2014-02-01,0.0,0.15570736
2014-03-01,0.0,0.15153547
2014-04-01,0.0,0.16441521
2014-05-01,0.0,0.16024332
2014-06-01,0.0,0.16024332
2014-07-01,0.0,0.16024332
2014-08-01,0.0,0.15153547
2014-09-01,0.0,0.15153547
2014-10-01,0.0,0.15570736
2014-11-01,0.0,0.15153547
2014-12-01,0.0,0.15153547
2015-01-01,0.0,0.15570736
2015-02-01,0.0,0.15570736
2015-03-01,0.0,0.16441521
2015-04-01,0.0,0.16441521
2015-05-01,5.166089786640492,0.19028684
2015-06-01,0.0,0.19028684
2015-07-01,0.0,0.16024332
2015-08-01,0.0,0.15292032
2015-09-01,0.0,0.15153547
2015-10-01,0.0,0.33192548
2015-11-01,0.0,0.15153547
2015-12-01,0.0,0.19445874
2016-01-01,0.0,0.16441521
2016-02-01,0.0,0.16441521
2016-03-01,0.0,0.15570736
2016-04-01,0.0,0.16024332
2016-05-01,0.0,0.15153547
2016-06-01,0.0,0.15570736
2016-07-01,0.0,0.15153547
2016-08-01,0.0,0.15153547
